active_bins,correct_rank,ghost_mass_fraction,id,kkt,mass,matched_components,method,minority_rate_recovered,minority_support_recall,partition,r_true,rank,relative_gap,scenario,seconds,selected_penalty,snr,spectral_leakage_fraction,stationarity,success,test_clean_rmse_sigma,test_observed_rmse_sigma,unmatched_mass_fraction,w1_logD
,False,0.010864082004665734,development_011_weak,4.208604226021232e-16,35.739156474941794,2,RAI_S,False,0.0,development,3,2,,weak,1.5235016999067739,,100,0.010864082004665916,4.4365886258239345e-11,True,0.22111703600645985,1.0401329777956445,0.0,0.039422226759149824
,True,0.13182708956204575,development_012_close,,38.347371865323126,3,DOME,True,1.0,development,3,3,,close,0.7691293000243604,,100,0.1318270895620456,,True,0.301200764655027,1.0520729644235538,0.0,0.15116322710520058
,True,0.06079110561405783,development_012_close,5.282674423157348e-16,38.2184655053559,3,DOME_S,True,0.9999999999999999,development,3,3,,close,0.8184232000494376,,100,0.06079110561405774,6.304742289644274e-09,True,0.2554855263649981,1.0401966792435984,1.8591608175909768e-16,0.07226433829224839
,False,0.27313735917059684,development_012_close,,38.431774470552725,2,RAI,True,1.0,development,3,2,,close,1.555356299970299,,100,0.27313735917059684,,True,0.45096545143624,1.1043063667234745,0.0,0.20333371117322424
,True,0.06079110561405783,development_012_close,5.282674423157348e-16,38.2184655053559,3,RAI_S,True,0.9999999999999999,development,3,3,,close,1.5055563999339938,,100,0.06079110561405774,6.304742289644274e-09,True,0.2554855263649981,1.0401966792435984,1.8591608175909768e-16,0.07226433829224839
,False,0.38768359675038655,development_013_proportional,,24.88426590103795,1,DOME,False,0.0,development,3,2,,proportional,1.3660152000375092,,100,0.0,,True,0.2624637051035406,0.9728281349732717,0.38768359675038655,0.41556016812791025
,False,0.3876835414619061,development_013_proportional,2.271070311462426e-16,24.884265966393848,1,DOME_S,False,0.0,development,3,2,,proportional,1.0566631999099627,,100,0.0,5.4204234597438295e-09,True,0.2624637105272707,0.9728281376198297,0.3876835414619061,0.41556018076029333
,False,0.3876835550480491,development_013_proportional,,24.884265950357154,1,RAI,False,0.0,development,3,2,,proportional,1.0596285000210628,,100,0.0,,True,0.26246370918709305,0.9728281369681849,0.3876835550480491,0.4155601776560644
,False,0.38768354146189216,development_013_proportional,4.501756398243077e-16,24.884265966393855,1,RAI_S,False,0.0,development,3,2,,proportional,0.9545179000124335,,100,0.0,5.420427454876959e-09,True,0.26246371052727213,0.9728281376198301,0.38768354146189216,0.4155601807602965
,True,0.0,development_014_null,,0.0,0,DOME,,,development,0,0,,null,0.8978170000482351,,100,0.0,,True,0.0,1.0033012742192222,0.0,0.0
,True,0.0,development_014_null,0.0,0.0,0,DOME_S,,,development,0,0,,null,0.7094969000900164,,100,0.0,,True,0.0,1.0033012742192222,0.0,0.0
,True,0.0,development_014_null,,0.0,0,RAI,,,development,0,0,,null,0.3751467000693083,,100,0.0,,True,0.0,1.0033012742192222,0.0,0.0
,True,0.0,development_014_null,0.0,0.0,0,RAI_S,,,development,0,0,,null,0.36198719998355955,,100,0.0,,True,0.0,1.0033012742192222,0.0,0.0
